character	killed by	caused by	death	type
Fire Knight Queelign	The Tarnished		Slain by the Tarnished (potentially turned into a Spirit Summon)	physical
Fire Knight Queelign	The Tarnished		Slain by the Tarnished (revived)	temporary
Flying Dragon Agheel	The Tarnished		Slain by the Tarnished	
Flying Dragon Greyll	The Tarnished		Slain by the Tarnished	
Frenzied Duelist	The Tarnished		Slain by the Tarnished	
Full-Grown Fallingstar Beast	The Tarnished		Slain by the Tarnished	
Furnace Golem (Ancient Ruins of Rauh)	The Tarnished		Slain by the Tarnished	
Furnace Golem (Charo's Hidden Grave)	The Tarnished		Slain by the Tarnished	
Furnace Golem (Ellac River)	The Tarnished		Slain by the Tarnished	
Furnace Golem (Ruins of Unte)	The Tarnished		Slain by the Tarnished	
Furnace Golem (Ruins of Unte, unlit)	The Tarnished		Slain by the Tarnished	
Furnace Golem (Scadu Altus, East)	The Tarnished		Slain by the Tarnished	
Furnace Golem (Scadu Altus, West)	The Tarnished		Slain by the Tarnished	
Furnace Golem (Scorched Ruins)	The Tarnished		Slain by the Tarnished	
Ghostflame Dragon (Cerulean Coast)	The Tarnished		Slain by the Tarnished	
Ghostflame Dragon (Gravesite Plain)	The Tarnished		Slain by the Tarnished	
Ghostflame Dragon (Scadu Altus)	The Tarnished		Slain by the Tarnished	
Glintstone Dragon Adula	The Tarnished		Slain by the Tarnished	
Glintstone Dragon Smarag	The Tarnished		Slain by the Tarnished	
God-Devouring Serpent	The Tarnished		Slain by the Tarnished	
Godefroy the Grafted	The Tarnished		Slain by the Tarnished	
Godfrey, First Elden Lord	The Tarnished		Slain by the Tarnished	
Godrick the Grafted	The Tarnished		Slain by the Tarnished	
Godskin Apostle (Divine Tower of Caelid)	The Tarnished		Slain by the Tarnished	
Godskin Apostle (Dominula, Windmill Village)	The Tarnished		Slain by the Tarnished	
Godskin Apostle (Godskin Duo)	The Tarnished		Slain by the Tarnished	
Godskin Apostle (Spiritcaller Cave)			Died from unknown causes (returned as a spirit)	physical
Godskin Noble (Divine Tower of Liurnia)	The Tarnished		Slain by the Tarnished	
Godskin Noble (Godskin Duo)	The Tarnished		Slain by the Tarnished	
Godskin Noble (Spiritcaller Cave)			Died from unknown causes (returned as a spirit)	physical
Godskin Noble (Volcano Manor)	The Tarnished		Slain by the Tarnished	
Golden Hippopotamus	The Tarnished		Slain by the Tarnished	
Golden Hippopotamus (Ancient Ruins of Rauh)	The Tarnished		Slain by the Tarnished	
Golden Hippopotamus (Charo's Hidden Grave)	The Tarnished		Slain by the Tarnished	
Golden Hippopotamuses (Recluses' River)	The Tarnished		Slain by the Tarnished	
Grafted Scion	The Tarnished		Slain by the Tarnished	
Grave Warden Duelist (Auriza Side Tomb)	The Tarnished		Slain by the Tarnished	
Grave Warden Duelist (Murkwater Catacombs)	The Tarnished		Slain by the Tarnished	
Great Horned Tragoth	The Tarnished	Patches the Untethered | Tanith, Volcano Manor Proprietress	Slain by the Tarnished on orders from Patches the Untethered and Tanith, Volcano Manor Proprietress	
Great Wyrm Theodorix	The Tarnished		Slain by the Tarnished	
Guardian Golem	The Tarnished		Slain by the Tarnished	
Hornsent	The Tarnished		Slain by the Tarnished (dependent on player choice)	variable | unavoidable
Hornsent	The Tarnished | Needle Knight Leda		Slain by the Tarnished, assisted by Needle Knight Leda (dependent on player choice)	variable | unavoidable
Hornsent	The Tarnished | Sanguine Noble Nataan | Sir Ansbach | Sir Thiollier		Slain by the Tarnished, assisted by Sanguine Noble Nataan, Sir Ansbach or Sir Thiollier (dependent on player choice)	variable | unavoidable
Inaba, Disciple of Okina			Died from unknown causes (returned as spirits)	physical
Inquisitor Ghiza	The Tarnished		Slain by the Tarnished	
Jagged Peak Drake (Jagged Peak Foothills)	The Tarnished		Slain by the Tarnished	
Jagged Peak Drake (Jagged Peak)	The Tarnished		Slain by the Tarnished	
Jolán, Swordhand of Night	The Tarnished		Slain by the Tarnished (potentially turned into a Spirit Summon)	physical
Jori, Elder Inquisitor	The Tarnished		Slain by the Tarnished	
Juno Hoslow, Knight of Blood	The Tarnished	Tanith, Volcano Manor Proprietress	Slain by the Tarnished on orders from Tanith, Volcano Manor Proprietress	
Kindreds of Rot	The Tarnished		Slain by the Tarnished	
Knight Bernahl	The Tarnished		Slain by the Tarnished	
Knight of the Great Jar (Estoc, Albinauric Staff)	The Tarnished		Slain by the Tarnished	
Knight of the Great Jar (Great Mace, Banished Knight Shield)	The Tarnished		Slain by the Tarnished	
Knight of the Great Jar (Miséricorde, Buckler)	The Tarnished		Slain by the Tarnished	
Knight of the Solitary Gaol			Died from unknown causes (returned as a spirit)	physical
Lamenter	The Tarnished		Slain by the Tarnished	
Leonine Misbegotten	The Tarnished		Slain by the Tarnished	
Lichdragon Fortissax	The Tarnished		Slain by the Tarnished	
Logur, the Beast Claw	The Tarnished		Slain by the Tarnished	
Loretta, Knight of the Haligtree	The Tarnished		Slain by the Tarnished	
Mad Pumpkin Head	The Tarnished		Slain by the Tarnished	
Mad Pumpkin Head (Flail)	The Tarnished		Slain by the Tarnished	
Mad Pumpkin Head (Hammer)	The Tarnished		Slain by the Tarnished	
Mad Tongue Alberich	The Tarnished		Slain by the Tarnished	
Madding Hand	The Tarnished		Slain by the Tarnished	
Magma Wyrm (Gael Tunnel)	The Tarnished		Slain by the Tarnished	
Magma Wyrm (Mt. Gelmir)	The Tarnished		Slain by the Tarnished	
Magma Wyrm Makar	The Tarnished		Slain by the Tarnished	
Magnus the Beast Claw	The Tarnished		Slain by the Tarnished	
Maleigh Marais, Shaded Castle Castellan	The Tarnished		Slain by the Tarnished	
Malenia, Blade of Miquella	The Tarnished		Slain by the Tarnished	
Maliketh, the Black Blade	The Tarnished		Slain by the Tarnished	
Messmer the Impaler	The Tarnished		Slain by the Tarnished	
Metyr, Mother of Fingers	The Tarnished		Slain by the Tarnished	
Midra, Lord of Frenzied Flame	The Tarnished		Slain by the Tarnished	
Millicent the Rotting	The Tarnished		Slain by the Tarnished (revived)	temporary
Millicent the Rotting	The Tarnished | Millicent's Sisters		Slain by the Tarnished, assisted by Millicent's Sisters (dependent on player choice)	variable
Millicent's Sisters	The Tarnished | Millicent the Rotting		Slain by the Tarnished, assisted by Millicent the Rotting (dependent on player choice)	variable
Miranda Blossom	The Tarnished		Slain by the Tarnished	
Miranda the Blighted Bloom	The Tarnished		Slain by the Tarnished	
Misbegotten Crusader	The Tarnished		Slain by the Tarnished	
Misbegotten Warrior (Redmane Castle)	The Tarnished		Slain by the Tarnished	
Misbegotten Warrior (Stone Coffin Fissure)			Died from unknown causes (returned as a spirit)	physical
Misbegotten Warrior (Unsightly Catacombs)	The Tarnished		Slain by the Tarnished	
Mohg, Lord of Blood	The Tarnished		Slain by the Tarnished	
Moongrum, Carian Knight	The Tarnished		Slain by the Tarnished	
Moonrithyll, Carian Knight	The Tarnished		Slain by the Tarnished	
Morgott, the Omen King	The Tarnished		Slain by the Tarnished	
Nameless White Masks	The Tarnished		Slain by the Tarnished	
Necromancer Garris	The Tarnished		Slain by the Tarnished	
Needle Knight Leda	The Tarnished | Hornsent		Slain by the Tarnished, assisted by Hornsent (revived, dependent on player choice)	temporary | variable
Needle Knight Leda	The Tarnished | Sanguine Noble Nataan | Sir Ansbach | Sir Thiollier		Slain by the Tarnished, assisted by Sanguine Noble Nataan, Sir Ansbach or Sir Thiollier	
Night's Cavalry (Altus Plateau)	The Tarnished		Slain by the Tarnished	
Night's Cavalry (Caelid North)	The Tarnished		Slain by the Tarnished	
Night's Cavalry (Caelid South)	The Tarnished		Slain by the Tarnished	
Night's Cavalry (Flail)	The Tarnished		Slain by the Tarnished	
Night's Cavalry (Forbidden Lands)	The Tarnished		Slain by the Tarnished	
Night's Cavalry (Glaive)	The Tarnished		Slain by the Tarnished	
Night's Cavalry (Limgrave)	The Tarnished		Slain by the Tarnished	
Night's Cavalry (Liurnia of the Lakes North)	The Tarnished		Slain by the Tarnished	
Night's Cavalry (Liurnia of the Lakes South)	The Tarnished		Slain by the Tarnished	
Night's Cavalry (Weeping Peninsula)	The Tarnished		Slain by the Tarnished	
Nox Monk	The Tarnished		Slain by the Tarnished	
Nox Swordstress	The Tarnished		Slain by the Tarnished	
Old Knight Istvan	The Tarnished	Tanith, Volcano Manor Proprietress	Slain by the Tarnished on orders from Tanith, Volcano Manor Proprietress	
Omenkiller (Perfumer's Grotto)	The Tarnished		Slain by the Tarnished	
Omenkiller (Village of the Albinaurics)	The Tarnished		Slain by the Tarnished	
Onyx Lord (Royal Grave Evergaol)	The Tarnished		Slain by the Tarnished	
Onyx Lord (Sealed Tunnel)	The Tarnished		Slain by the Tarnished	
Perfumer Tricia	The Tarnished		Slain by the Tarnished (turned into a Spirit Summon)	physical
Preceptor Miriam	The Tarnished		Slain by the Tarnished	
Preceptor Miriam	The Tarnished		Slain by the Tarnished (revived)	temporary
Promised Consort Radahn	The Tarnished		Slain by the Tarnished	
Putrescent Knight	The Tarnished		Slain by the Tarnished	
Putrid Avatar (Caelid)	The Tarnished		Slain by the Tarnished	
Putrid Avatar (Consecrated Snowfield)	The Tarnished		Slain by the Tarnished	
Putrid Avatar (Greyoll's Dragonbarrow)	The Tarnished		Slain by the Tarnished	
Putrid Crystalian (Ringblade)	The Tarnished		Slain by the Tarnished	
Putrid Crystalian (Spear)	The Tarnished		Slain by the Tarnished	
Putrid Crystalian (Staff)	The Tarnished		Slain by the Tarnished	
Putrid Grave Warden Duelist	The Tarnished		Slain by the Tarnished	
Putrid Tree Spirit	The Tarnished		Slain by the Tarnished	
Radagon of the Golden Order	The Tarnished		Slain by the Tarnished (potentially revived dependent on player choice)	variable
Rakshasa			Died from unknown causes (returned as a spirit)	physical
Ralva the Great Red Bear	The Tarnished		Slain by the Tarnished	
Recusant Henricus	The Tarnished		Slain by the Tarnished	
Red Bear			Died from unknown causes (returned as a spirit)	physical
Red Wolf of Radagon	The Tarnished		Slain by the Tarnished	
Red Wolf of the Champion	The Tarnished		Slain by the Tarnished	
Redmane Freyja	The Tarnished | Sanguine Noble Nataan | Sir Ansbach | Sir Thiollier		Slain by the Tarnished, assisted by Sanguine Noble Nataan, Sir Ansbach or Sir Thiollier	
Regal Ancestor Spirit	The Tarnished		Slain by the Tarnished	
Rellana, Twin Moon Knight	The Tarnished		Slain by the Tarnished	
Rileigh the Idle	The Tarnished	Tanith, Volcano Manor Proprietress	Slain by the Tarnished on orders from Tanith, Volcano Manor Proprietress	
Romina, Saint of the Bud	The Tarnished		Slain by the Tarnished	
Roundtable Knight Vyke	The Tarnished		Slain by the Tarnished	
Royal Revenant	The Tarnished		Slain by the Tarnished	
Rugalea the Great Red Bear	The Tarnished		Slain by the Tarnished	
Runebear	The Tarnished		Slain by the Tarnished	
Rykard, Lord of Blasphemy	The Tarnished		Slain by the Tarnished	
Sanguine Noble	The Tarnished		Slain by the Tarnished	
Sanguine Noble (Invader)	The Tarnished		Slain by the Tarnished	
Scadutree Avatar	The Tarnished		Slain by the Tarnished	
Scaly Misbegotten	The Tarnished		Slain by the Tarnished	
Sir Ansbach			Died after the defeat of Promised Consort Radahn (dependent on player choice)	variable | unavoidable
Sir Ansbach	The Tarnished | Needle Knight Leda		Slain by the Tarnished, assisted by Needle Knight Leda (dependent on player choice)	variable | unavoidable
Sir Gideon Ofnir, the All-Knowing	The Tarnished		Slain by the Tarnished	
Sir Moore			Fell into despair and let himself die (dependent on player choice)	variable | unavoidable
Sir Moore	The Tarnished | Sanguine Noble Nataan | Sir Ansbach | Sir Thiollier		Slain by the Tarnished, assisted by Sanguine Noble Nataan, Sir Ansbach or Sir Thiollier (dependent on player choice)	variable | unavoidable
Sir Thiollier			Died after the defeat of Promised Consort Radahn	
Sir Thiollier	The Tarnished		Slain by the Tarnished (revived)	temporary
Soldier of Godrick	The Tarnished		Slain by the Tarnished	
Sorceress Sellen	The Tarnished | Witch-Hunter Jerren		Slain by the Tarnished, assisted by Witch-Hunter Jerren (dependent on player choice)	variable
Spiritcaller Snail (Road's End Catacombs)	The Tarnished		Slain by the Tarnished	
Spiritcaller Snail (Spiritcaller Cave)	The Tarnished		Slain by the Tarnished	
Starscourge Radahn	The Tarnished		Slain by the Tarnished (revived by Miquella the Kind)	temporary
Stonedigger Troll (Limgrave Tunnels)	The Tarnished		Slain by the Tarnished	
Stonedigger Troll (Old Altus Tunnel)	The Tarnished		Slain by the Tarnished	
Stray Mimic Tear	The Tarnished		Slain by the Tarnished	
Swordhand of Night Anna	The Tarnished		Slain by the Tarnished (potentially turned into a Spirit Summon)	physical
Tanith's Knight	The Tarnished		Slain by the Tarnished	
Tibia Mariner (Charo's Hidden Grave)	The Tarnished		Slain by the Tarnished	
Tibia Mariner (Liurnia)	The Tarnished		Slain by the Tarnished	
Tibia Mariner (Mountaintops)	The Tarnished		Slain by the Tarnished	
Tibia Mariner (Summonwater Village)	The Tarnished		Slain by the Tarnished	
Tibia Mariner (Wyndham Ruins)	The Tarnished		Slain by the Tarnished	
Tree Sentinel	The Tarnished		Slain by the Tarnished	
Tree Sentinel (Halberd) (Altus Plateau)	The Tarnished		Slain by the Tarnished	
Tree Sentinel (Halberd) (Scaduview)	The Tarnished		Slain by the Tarnished	
Tree Sentinel (Torch) (Altus Plateau)	The Tarnished		Slain by the Tarnished	
Tree Sentinel (Torch) (Scaduview)	The Tarnished		Slain by the Tarnished	
Ulcerated Tree Spirit (Fringefolk Hero's Grave)	The Tarnished		Slain by the Tarnished	
Ulcerated Tree Spirit (Giant's Mountaintop Catacombs)	The Tarnished		Slain by the Tarnished	
Ulcerated Tree Spirit (Mt. Gelmir)	The Tarnished		Slain by the Tarnished	
Valiant Gargoyle (Greatsword)	The Tarnished		Slain by the Tarnished	
Valiant Gargoyle (Twinblade)	The Tarnished		Slain by the Tarnished	
Vargram the Raging Wolf	The Tarnished | Knight Bernahl	Tanith, Volcano Manor Proprietress	Slain by the Tarnished, assisted by Knight Bernahl, on orders from Tanith, Volcano Manor Proprietress	
White Mask Varré	The Tarnished		Slain by the Tarnished	
Wormface	The Tarnished		Slain by the Tarnished	
Ymir, Mother of Fingers	The Tarnished		Slain by the Tarnished	
