character	killed by	death	type
Dragonkin Soldier (Lake of Rot)	The Tarnished	Slain by the Tarnished	
Dragonkin Soldier (Siofra River)	The Tarnished	Slain by the Tarnished	
Dragonkin Soldier of Nokstella	The Tarnished	Slain by the Tarnished	
Dragonlord Placidusax	The Tarnished	Slain by the Tarnished	
Drake Warrior Igon		Died after the defeat of Bayle the Dread	
Dryleaf Dane	The Tarnished	Slain by the Tarnished (revived)	revived
Dryleaf Dane	The Tarnished | Sanguine Noble Nataan | Sir Ansbach | Sir Thiollier	Slain by the Tarnished, assisted by Sanguine Noble Nataan, Sir Ansbach or Sir Thiollier	
Dung Eater	The Tarnished	Slain by the Tarnished (revived)	revived
Dung Eater	The Tarnished | Dung Eater	Defiled by the Tarnished using the Seedbed Curse, on his own orders (dependent on player choice)	determinant
Dung Eater	The Tarnished | Preceptor Seluvis	Turned into a puppet by the Tarnished using Preceptor Seluvis' potion (dependent on player choice)	determinant | physical
Edgar the Revenger	The Tarnished	Slain by the Tarnished	
Elden Beast	The Tarnished	Slain by the Tarnished	
Elder Dragon Greyoll	The Tarnished	Slain by the Tarnished	
Elder Lion (Altus Plateau)	The Tarnished	Slain by the Tarnished	
Elder Lion (Castle Sol)	The Tarnished	Slain by the Tarnished	
Elder Lion (Fort Gael)	The Tarnished	Slain by the Tarnished	
Elder Lion (Leyndell, Royal Capital)	The Tarnished	Slain by the Tarnished	
Elder Lion (Redmane Castle)	The Tarnished	Slain by the Tarnished	
Elder Lion (Stormveil Castle)	The Tarnished	Slain by the Tarnished	
Elder Lion (Swamp of Aeonia)	The Tarnished	Slain by the Tarnished	
Elemer of the Briar	The Tarnished	Slain by the Tarnished	
Eleonora, Violet Bloody Finger	The Tarnished	Slain by the Tarnished	
Ensha		Died from unknown causes	
Ensha of the Royal Remains	The Tarnished	Slain by the Tarnished	
Erdtree Avatar (Deeproot Depths)	The Tarnished	Slain by the Tarnished	
Erdtree Avatar (East Liurnia)	The Tarnished	Slain by the Tarnished	
Erdtree Avatar (Leyndell, Royal Capital)	The Tarnished	Slain by the Tarnished	
Erdtree Avatar (Mountaintops of the Giants)	The Tarnished	Slain by the Tarnished	
Erdtree Avatar (Weeping Peninsula)	The Tarnished	Slain by the Tarnished	
Erdtree Avatar (West Liurnia)	The Tarnished	Slain by the Tarnished	
Erdtree Burial Watchdog (Impaler's Catacombs)	The Tarnished	Slain by the Tarnished	
Erdtree Burial Watchdog (Scepter)	The Tarnished	Slain by the Tarnished	
Erdtree Burial Watchdog (Stormfoot Catacombs)	The Tarnished	Slain by the Tarnished	
Erdtree Burial Watchdog (Sword)	The Tarnished	Slain by the Tarnished	
Erdtree Burial Watchdog (Wyndham Catacombs)	The Tarnished	Slain by the Tarnished	
Errant Sorcerer Wilhelm	The Tarnished | Knight Bernahl | Tanith, Volcano Manor Proprietress	Slain by the Tarnished, assisted by Knight Bernahl, on orders from Tanith, Volcano Manor Proprietress	
Esgar, Priest of Blood	The Tarnished	Slain by the Tarnished	
Fallingstar Beast (Altus Plateau)	The Tarnished	Slain by the Tarnished	
Fallingstar Beast (Finger Ruins of Dheo)	The Tarnished	Slain by the Tarnished	
Fallingstar Beast (Sellia Crystal Tunnel)	The Tarnished	Slain by the Tarnished	
Fell Twin (Axe)	The Tarnished	Slain by the Tarnished	
Fell Twin (Cleaver)	The Tarnished	Slain by the Tarnished	
Festering Fingerprint Vyke	The Tarnished	Slain by the Tarnished (revived)	revived
Fia's First Champion		Died from unknown causes (returned as a spirit)	physical
Fia's Second Champion		Died from unknown causes (returned as a spirit)	physical
Fia's Third Champion		Died from unknown causes (returned as a spirit)	physical
Fia, Deathbed Companion	D, Beholder of Death	Stabbed by D, Beholder of Death	
Finger Maiden Therolina	Preceptor Seluvis	Turned into a puppet by Preceptor Seluvis	physical
Fire Giant	The Tarnished | Alexander, Warrior Jar	Slain by the Tarnished, assisted by Alexander, Warrior Jar	
Fire Knight Hilde		Died from unknown causes (returned as a spirit)	physical
Fire Knight Kood	The Tarnished	Slain by the Tarnished	
Fire Knight Queelign	The Tarnished	Slain by the Tarnished (potentially turned into a spirit)	physical
Fire Knight Queelign	The Tarnished	Slain by the Tarnished (revived)	revived
Fire Knight Salza	The Tarnished	Slain by the Tarnished	
Fire Knight Wego	The Tarnished	Slain by the Tarnished	
Flying Dragon Agheel	The Tarnished | Bloody Finger Hunter Yura	Slain by the Tarnished, assisted by Bloody Finger Hunter Yura	
Flying Dragon Greyll	The Tarnished	Slain by the Tarnished	
Frenzied Duelist	The Tarnished	Slain by the Tarnished	
Full-Grown Fallingstar Beast	The Tarnished	Slain by the Tarnished	
Furnace Golem (Ancient Ruins of Rauh)	The Tarnished	Slain by the Tarnished	
Furnace Golem (Charo's Hidden Grave)	The Tarnished	Slain by the Tarnished	
Furnace Golem (Ellac River)	The Tarnished	Slain by the Tarnished	
Furnace Golem (Ruins of Unte)	The Tarnished	Slain by the Tarnished	
Furnace Golem (Ruins of Unte, unlit)	The Tarnished	Slain by the Tarnished	
Furnace Golem (Scadu Altus, East)	The Tarnished	Slain by the Tarnished	
Furnace Golem (Scadu Altus, West)	The Tarnished	Slain by the Tarnished	
Furnace Golem (Scorched Ruins)	The Tarnished	Slain by the Tarnished	
Ghostflame Dragon (Cerulean Coast)	The Tarnished	Slain by the Tarnished	
Ghostflame Dragon (Gravesite Plain)	The Tarnished	Slain by the Tarnished	
Ghostflame Dragon (Scadu Altus)	The Tarnished	Slain by the Tarnished	
Giant Wormface	The Tarnished	Slain by the Tarnished	
Glintstone Dragon Adula	The Tarnished	Slain by the Tarnished	
Glintstone Dragon Smarag	The Tarnished	Slain by the Tarnished	
Glintstone Scarabs	The Tarnished	Slain by the Tarnished	
God-Devouring Serpent	The Tarnished	Slain by the Tarnished alongside Rykard	
Godefroy the Grafted	The Tarnished	Slain by the Tarnished	
Godfrey, First Elden Lord	The Tarnished | Nepheli Loux, Warrior | Shabriri	Slain by the Tarnished, assisted by Nepheli Loux, Warrior or Shabriri	
Godrick the Grafted	The Tarnished | Nepheli Loux, Warrior	Slain by the Tarnished, assisted by Nepheli Loux, Warrior	
Godskin Apostle (Divine Tower of Caelid)	The Tarnished	Slain by the Tarnished	
Godskin Apostle (Dominula, Windmill Village)	The Tarnished | Millicent the Rotting	Slain by the Tarnished, assisted by Millicent the Rotting	
Godskin Apostle (Godskin Duo)	The Tarnished | Knight Bernahl	Slain by the Tarnished, assisted by Knight Bernahl	
Godskin Apostle (Spiritcaller Cave)		Died from unknown causes (returned as a spirit)	physical
Godskin Noble (Divine Tower of Liurnia)	The Tarnished	Slain by the Tarnished	
Godskin Noble (Godskin Duo)	The Tarnished | Knight Bernahl	Slain by the Tarnished, assisted by Knight Bernahl	
Godskin Noble (Spiritcaller Cave)		Died from unknown causes (returned as a spirit)	physical
Godskin Noble (Volcano Manor)	The Tarnished	Slain by the Tarnished	
Godwyn the Golden	Black Knife Assassins | Lunar Princess Ranni	Soul destroyed by the Black Knife Assassins, orchestrated by Lunar Princess Ranni	brain-dead
Golden Hippopotamus	The Tarnished | Hornsent | Redmane Freyja	Slain by the Tarnished, assisted by Hornsent or Redmane Freyja	
Golden Hippopotamus (Ancient Ruins of Rauh)	The Tarnished	Slain by the Tarnished	
Golden Hippopotamus (Charo's Hidden Grave)	The Tarnished	Slain by the Tarnished	
Golden Hippopotamuses (Recluses' River)	The Tarnished	Slain by the Tarnished	
Goldmask		Died after creating the Mending Rune of Perfect Order	
Grafted Scion (Chapel of Anticipation)	The Tarnished	Slain by the Tarnished	
Grafted Scion (Liurnia of the Lakes)	The Tarnished	Slain by the Tarnished	
Grafted Scion (Mt. Gelmir)	The Tarnished	Slain by the Tarnished	
Grafted Scion (Stormveil Castle)	The Tarnished	Slain by the Tarnished	
Grafted Scions (Fringefolk Hero's Grave)	The Tarnished	Slain by the Tarnished	
Grandmother		Died from unknown causes	
Grave Warden Duelist (Auriza Side Tomb)	The Tarnished	Slain by the Tarnished	
Grave Warden Duelist (Murkwater Catacombs)	The Tarnished	Slain by the Tarnished	
Great Horned Tragoth	The Tarnished | Patches the Untethered | Tanith, Volcano Manor Proprietress	Slain by the Tarnished on orders from Patches the Untethered and Tanith, Volcano Manor Proprietress	
Great Wyrm Theodorix	The Tarnished	Slain by the Tarnished	
Guardian Golem	The Tarnished	Slain by the Tarnished	
Hornsent	The Tarnished	Slain by the Tarnished (dependent on player choice)	determinant | unavoidable
Hornsent	The Tarnished | Needle Knight Leda	Slain by the Tarnished, assisted by Needle Knight Leda (dependent on player choice)	determinant | unavoidable
Hornsent	The Tarnished | Sanguine Noble Nataan | Sir Ansbach | Sir Thiollier	Slain by the Tarnished, assisted by Sanguine Noble Nataan, Sir Ansbach or Sir Thiollier (dependent on player choice)	determinant | unavoidable
Inaba, Disciple of Okina		Died from unknown causes (returned as spirits)	physical
Incantation Scarabs	The Tarnished	Slain by the Tarnished	
Inquisitor Ghiza	The Tarnished	Slain by the Tarnished	
Irina of Morne		Murdered by the Misbegotten	
Jagged Peak Drake (Jagged Peak Foothills)	The Tarnished	Slain by the Tarnished	
Jagged Peak Drake (Jagged Peak)	The Tarnished	Slain by the Tarnished	
Jarwight	Preceptor Seluvis	Turned into a puppet by Preceptor Seluvis	physical
Jolán, Swordhand of Night	The Tarnished	Slain by the Tarnished (potentially turned into a spirit)	physical
Jori, Elder Inquisitor	The Tarnished	Slain by the Tarnished	
Juno Hoslow, Knight of Blood	The Tarnished | Tanith, Volcano Manor Proprietress	Slain by the Tarnished on orders from Tanith, Volcano Manor Proprietress	
Kindreds of Rot	The Tarnished	Slain by the Tarnished	
Knight Bernahl	The Tarnished	Slain by the Tarnished	
Knight Diallos		Mortally wounded by jar-poachers	
Knight of the Great Jar (Estoc, Albinauric Staff)	The Tarnished	Slain by the Tarnished	
Knight of the Great Jar (Great Mace, Banished Knight Shield)	The Tarnished	Slain by the Tarnished	
Knight of the Great Jar (Miséricorde, Buckler)	The Tarnished	Slain by the Tarnished	
Knight of the Solitary Gaol		Died from unknown causes (returned as a spirit)	physical
Lamenter	The Tarnished	Slain by the Tarnished	
Lanya		Murdered by a Recusant of Volcano Manor	
Latenna the Albinauric		Willingly lets herself turn into a spirit	physical
Leonard	The Tarnished	Slain by the Tarnished alongside Radahn	
Leonine Misbegotten	The Tarnished | Castellan Edgar	Slain by the Tarnished, assisted by Castellan Edgar	
Lhutel the Headless	Lhutel the Headless	Willingly let herself turn into a spirit	physical
Lichdragon Fortissax	The Tarnished	Slain by the Tarnished	
Lightseeker Hyetta	Three Fingers	Incinerated with the Flame of Frenzy by the Three Fingers	
Lionel the Lionhearted		Died from unknown causes (returned as a spirit)	physical
Logur, the Beast Claw	The Tarnished	Slain by the Tarnished	
Loretta, Knight of the Haligtree	The Tarnished	Slain by the Tarnished	
Lunar Princess Ranni	Lunar Princess Ranni	Destroyed her own body, transferring her spirit into a doll	physical
Mad Pumpkin Head	The Tarnished	Slain by the Tarnished	
Mad Pumpkin Head (Flail)	The Tarnished	Slain by the Tarnished	
Mad Pumpkin Head (Hammer)	The Tarnished	Slain by the Tarnished	
Mad Tongue Alberich	The Tarnished	Slain by the Tarnished	
Madding Hand	The Tarnished	Slain by the Tarnished	
Magma Wyrm (Gael Tunnel)	The Tarnished	Slain by the Tarnished	
Magma Wyrm (Mt. Gelmir)	The Tarnished	Slain by the Tarnished	
Magma Wyrm Makar	The Tarnished | Blackguard Big Boggart | Great Horned Tragoth | Millicent the Rotting	Slain by the Tarnished, assisted by Blackguard Big Boggart, Great Horned Tragoth or Millicent the Rotting	
Magnus the Beast Claw	The Tarnished	Slain by the Tarnished	
Maleigh Marais, Shaded Castle Castellan	The Tarnished	Slain by the Tarnished	
Malenia, Blade of Miquella	The Tarnished	Slain by the Tarnished	
Malformed Star (Ainsel River Main)	The Tarnished	Slain by the Tarnished	
Malformed Star (Perfumer's Grotto)	The Tarnished	Slain by the Tarnished	
Malformed Star (Uhl Palace Ruins)	The Tarnished	Slain by the Tarnished	
Maliketh, the Black Blade	The Tarnished	Slain by the Tarnished	
Mary, Eldest Sister	The Tarnished | Millicent the Rotting	Slain by the Tarnished, assisted by Millicent the Rotting (dependent on player choice)	determinant
Maureen, Second Sister	The Tarnished | Millicent the Rotting	Slain by the Tarnished, assisted by Millicent the Rotting (dependent on player choice)	determinant
Melina	Melina	Burns herself with the Flame of Ruin (dependent on player choice)	determinant
Messmer the Impaler	The Tarnished | Hornsent | Jolán, Swordhand of Night	Slain by the Tarnished, assisted by Hornsent or Jolán, Swordhand of Night	
Metyr, Mother of Fingers	The Tarnished	Slain by the Tarnished	
Midra, Lord of Frenzied Flame	The Tarnished	Slain by the Tarnished	
Millicent the Rotting	The Tarnished	Slain by the Tarnished (revived)	revived
Millicent the Rotting	The Tarnished | Millicent's Sisters	Slain by the Tarnished, assisted by Millicent's Sisters (dependent on player choice)	determinant
Milos		Died from unknown causes	
Mimic Tear	The Tarnished	Slain by the Tarnished	
Miquella the Kind	The Tarnished	Perished after the defeat of Promised Consort Radahn at the Tarnished's hands	
Miranda Blossom	The Tarnished	Slain by the Tarnished	
Miranda the Blighted Bloom	The Tarnished	Slain by the Tarnished	
Misbegotten Crusader	The Tarnished	Slain by the Tarnished	
Misbegotten Warrior (Redmane Castle)	The Tarnished	Slain by the Tarnished	
Misbegotten Warrior (Stone Coffin Fissure)		Died from unknown causes (returned as a spirit)	physical
Misbegotten Warrior (Unsightly Catacombs)	The Tarnished	Slain by the Tarnished	
Mohg, Lord of Blood	The Tarnished	Slain by the Tarnished	
Moongrum, Carian Knight	The Tarnished	Slain by the Tarnished	
Moonrithyll, Carian Knight	The Tarnished	Slain by the Tarnished	
Morgott, the Omen King	The Tarnished | Dung Eater | Melina	Slain by the Tarnished, assisted by Dung Eater or Melina	
Nameless White Masks	The Tarnished	Slain by the Tarnished	
Nanaya		Died from unknown causes	
Necromancer Garris	The Tarnished	Slain by the Tarnished	
Needle Knight Leda	The Tarnished | Hornsent	Slain by the Tarnished, assisted by Hornsent (revived, dependent on player choice)	revived | determinant
Needle Knight Leda	The Tarnished | Sanguine Noble Nataan | Sir Ansbach | Sir Thiollier	Slain by the Tarnished, assisted by Sanguine Noble Nataan, Sir Ansbach or Sir Thiollier	
Nepheli Loux	The Tarnished | Preceptor Seluvis	Turned into a puppet by the Tarnished using Preceptor Seluvis' potion (dependent on player choice)	determinant | physical
Nepheli Loux, Warrior	The Tarnished | Preceptor Seluvis	Turned into a puppet by the Tarnished using Preceptor Seluvis' potion (dependent on player choice)	determinant | physical
Night's Cavalry (Altus Plateau)	The Tarnished	Slain by the Tarnished	
Night's Cavalry (Caelid North)	The Tarnished	Slain by the Tarnished	
Night's Cavalry (Caelid South)	The Tarnished	Slain by the Tarnished	
Night's Cavalry (Flail)	The Tarnished	Slain by the Tarnished	
Night's Cavalry (Forbidden Lands)	The Tarnished	Slain by the Tarnished	
Night's Cavalry (Glaive)	The Tarnished	Slain by the Tarnished	
Night's Cavalry (Limgrave)	The Tarnished	Slain by the Tarnished	
Night's Cavalry (Liurnia of the Lakes North)	The Tarnished	Slain by the Tarnished	
Night's Cavalry (Liurnia of the Lakes South)	The Tarnished	Slain by the Tarnished	
Night's Cavalry (Weeping Peninsula)	The Tarnished	Slain by the Tarnished	
Nightmaiden	Nightmaiden	Willingly let herself turn into a puppet	physical
Nox Monk	The Tarnished	Slain by the Tarnished	
Nox Swordstress	The Tarnished	Slain by the Tarnished	
Old Albus		Faded away after giving the Tarnished his half of the Haligtree Secret Medallion	
Old Knight Istvan	The Tarnished | Tanith, Volcano Manor Proprietress	Slain by the Tarnished on orders from Tanith, Volcano Manor Proprietress	
Omenkiller (Perfumer's Grotto)	The Tarnished	Slain by the Tarnished	
Omenkiller (Village of the Albinaurics)	The Tarnished | Nepheli Loux, Warrior	Slain by the Tarnished, assisted by Nepheli Loux, Warrior	
Omenkiller Rollo		Died from unknown causes (returned as a spirit)	physical
Onyx Lord (Royal Grave Evergaol)	The Tarnished	Slain by the Tarnished	
Onyx Lord (Sealed Tunnel)	The Tarnished	Slain by the Tarnished	
Perfumer Tricia	The Tarnished	Slain by the Tarnished (turned into a spirit)	physical
Pidia, Carian Servant		Murdered by his own Raya Lucaria Soldier puppets	
Polyanna, Youngest Sister	The Tarnished | Millicent the Rotting	Slain by the Tarnished, assisted by Millicent the Rotting (dependent on player choice)	determinant
Preceptor Miriam	The Tarnished	Slain by the Tarnished	
Preceptor Miriam	The Tarnished	Slain by the Tarnished (revived)	revived
Preceptor Seluvis	Ranni the Witch	Turned into a puppet by Ranni the Witch	physical
Promised Consort Radahn	The Tarnished | Sir Ansbach | Sir Thiollier	Slain by the Tarnished, assisted by Sir Ansbach or Sir Thiollier	
Putrescent Knight	The Tarnished	Slain by the Tarnished	
Putrid Avatar (Caelid)	The Tarnished	Slain by the Tarnished	
Putrid Avatar (Consecrated Snowfield)	The Tarnished	Slain by the Tarnished	
Putrid Avatar (Elphael, Brace of the Haligtree)	The Tarnished	Slain by the Tarnished	
Putrid Avatar (Greyoll's Dragonbarrow)	The Tarnished	Slain by the Tarnished	
Putrid Crystalian (Ringblade)	The Tarnished	Slain by the Tarnished	
Putrid Crystalian (Spear)	The Tarnished	Slain by the Tarnished	
Putrid Crystalian (Staff)	The Tarnished	Slain by the Tarnished	
Putrid Grave Warden Duelist	The Tarnished	Slain by the Tarnished	
Putrid Tree Spirit (Elphael, Brace of the Haligtree)	The Tarnished	Slain by the Tarnished	
Putrid Tree Spirit (Grand Cloister)	The Tarnished	Slain by the Tarnished	
Putrid Tree Spirit (War-Dead Catacombs)	The Tarnished	Slain by the Tarnished	
Radagon of the Golden Order	The Tarnished	Slain by the Tarnished (potentially revived dependent on player choice)	determinant
Rakshasa		Died from unknown causes (returned as a spirit)	physical
